"Jahr";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";
"Januar";"691";"687";"738";"779";"859";"898";"1005";"1056";
"Februar";"764";"811";"871";"926";"1014";"1015";"1168";"1206";
"MÃ¤rz";"1161";"1360";"1190";"1365";"1716";"1392";"1933";"1708";
"April";"1920";"1480";"2065";"1930";"1678";"2321";"2193";"2926";
"Mai";"2492";"2556";"2391";"2729";"2843";"2683";"3677";"3319";
"Juni";"2753";"2727";"2991";"2880";"2996";"3416";"3812";"4336"
"Juli";"4141";"4421";"4199";"4409";"4648";"4829";"5874";"6045"
"August";"4150";"4211";"4796";"4784";"4682";"4796";"5395";"5567";
"September";"2492";"2494";"2718";"2714";"2955";"3218";"3597";"3633";
"Oktober";"1988";"2064";"2205";"2285";"2478";"2669";"2907";"3139";
"November";"1030";"1059";"1157";"1187";"1198";"1336";"1419";"1481"
"Dezember";902";"936";"1026";"1094";"1138";"1322";"1472";"1560";
"Durchschnitt";"2040";"2067";"2196";"2257";"2350";"2491";"2871";"2998";
"Insgesamt";"24484";"24806";"26347";"27083";"28205";"29895";"34452";"35976";

