Datum,Umsatz,Warengruppe,Brot,Broetchen,Croissant,Konditorei,Kuchen,Saisonbrot,national_holiday,christmas_market,KielerWoche,Schifffahrt,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,bewoelkt_bins_bewoelkt_0wenig_0_2,bewoelkt_bins_bewoelkt_1mäßig_3_5,bewoelkt_bins_bewoelkt_2stark_6_8,Monat,temp_bins_sehr_kalt,temp_bins_kalt,temp_bins_mild,temp_bins_warm,temp_bins_heiß,wind_bins_Brise,wind_bins_Wind,wind_bins_Sturm,Wettercode_cat,Wettercode_cat_condensed,Wettercode_0_keine_aussage,Wettercode_1_keine_beeintraechtigung,Wettercode_2_leichter_niederschlag,Wettercode_3_starker_niederschlag,Wettercode_4_gewitter,Wochentag_Mo,Wochentag_Di,Wochentag_Mi,Wochentag_Do,Wochentag_Fr,Wochentag_Sa,Wochentag_So
2013-12-25,,,,,,,,,,,0.0,381876.0,6.0,8.5625,13.0,21.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2013-12-26,,,,,,,,,,,0.0,381876.0,6.0,3.775,6.0,28.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Nebel hat sich aufgelöst,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2013-12-28,,,,,,,,,,,0.0,381876.0,7.0,7.0625,9.0,21.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2014-01-01,,,,,,,,,,,0.0,302451.0,5.0,4.5125,8.0,63.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Durchgehender mäßiger nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2014-04-18,,,,,,,,,,,0.0,590158.0,7.0,8.2375,11.0,61.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Durchgehender leichter und nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2014-05-01,,,,,,,,,,,0.0,662423.0,4.0,10.4875,14.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,,
2014-05-03,,,,,,,,,,,0.0,662423.0,3.0,11.8625,13.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,,
2014-05-04,,,,,,,,,,,0.0,662423.0,7.0,9.6,11.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,,
2014-08-17,,,,,,,,,,,0.0,1090559.0,7.0,15.65,13.0,61.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Durchgehender leichter und nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2014-12-25,,,,,,,,,,,0.0,368487.0,7.0,3.125,17.0,71.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Durchgehender leichter Schneefall,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2014-12-26,,,,,,,,,,,0.0,368487.0,6.0,0.0,6.0,22.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Schneefall hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2015-01-01,,,,,,,,,,,0.0,285513.0,8.0,4.125,13.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Feuchter Dunst,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2015-04-03,,,,,,,,,,,0.0,534471.0,5.0,7.375,14.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,,
2015-05-01,,,,,,,,,,,0.0,710066.0,6.0,10.0,6.0,21.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2015-12-25,,,,,,,,,,,0.0,359029.0,2.0,7.875,14.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,,
2015-12-26,,,,,,,,,,,0.0,359029.0,7.0,12.75,18.0,63.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Durchgehender mäßiger nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2016-01-01,,,,,,,,,,,0.0,290027.0,7.0,4.5,6.0,28.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Nebel hat sich aufgelöst,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2016-03-24,,,,,,,,,,,0.0,440950.0,7.0,7.375,10.0,21.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2016-03-25,,,,,,,,,,,0.0,440950.0,8.0,7.875,7.0,61.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Durchgehender leichter und nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2016-07-07,,,,,,,,,,,0.0,1178874.0,6.0,18.25,11.0,21.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2016-07-18,,,,,,,,,,,0.0,1178874.0,7.0,18.5,15.0,21.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2016-08-14,,,,,,,,,,,0.0,1062021.0,6.0,18.125,12.0,21.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2016-08-15,,,,,,,,,,,0.0,1062021.0,5.0,18.625,11.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,,
2016-12-11,58.5289054212942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,58.5289054212942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,58.5289054212942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,58.5289054212942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,58.5289054212942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,58.5289054212942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,486.685095537576,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,486.685095537576,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,486.685095537576,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,486.685095537576,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,486.685095537576,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,486.685095537576,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,176.390387266873,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,176.390387266873,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,176.390387266873,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,176.390387266873,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,176.390387266873,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,176.390387266873,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,122.393092255363,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,122.393092255363,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,122.393092255363,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,122.393092255363,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,122.393092255363,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,122.393092255363,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,263.596298985189,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,263.596298985189,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,263.596298985189,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,263.596298985189,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,263.596298985189,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,263.596298985189,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,84.5644203966836,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,84.5644203966836,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,84.5644203966836,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,84.5644203966836,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,84.5644203966836,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-11,84.5644203966836,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,380698.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-17,,,,,,,,,,,0.0,380698.0,8.0,2.125,6.0,10.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Feuchter Dunst,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2016-12-25,,,,,,,,,,,0.0,380698.0,7.0,9.375,16.0,61.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Durchgehender leichter und nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2016-12-26,,,,,,,,,,,0.0,380698.0,4.0,6.875,25.0,22.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Schneefall hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2017-01-01,,,,,,,,,,,0.0,269633.0,8.0,5.5,12.0,61.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Durchgehender leichter und nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2017-04-14,,,,,,,,,,,0.0,586707.0,7.0,9.25,12.0,63.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Durchgehender mäßiger nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,,
2017-05-01,,,,,,,,,,,0.0,687627.0,1.0,11.75,19.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Trockener Dunst,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,,
2017-07-04,,,,,,,,,,,0.0,1191653.0,6.0,17.25,15.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,,
